章节序号,题目序号,问题,选项,正确选项序号,解释
3,10,在哪里可以找到项目中使用的Jetpack Compose版本？,"[""在AndroidManifest.xml文件中"",""在MainActivity.kt文件中"",""在libs.versions.toml文件中"",""在res文件夹中""]",2,libs.versions.toml文件包含BOM版本信息，该信息指定正在使用的Jetpack Compose的版本。
3,11,ComposeDemo项目使用哪种构建配置语言？,"[""Groovy (build.gradle)"",""Java"",""Kotlin DSL (build.gradle.kts)"",""XML""]",2,Kotlin DSL用作项目的构建配置语言，使Gradle设置对Kotlin更加地道。
3,12,哪个文件用于定义应用程序用户界面的颜色、字体和形状？,"[""AndroidManifest.xml"",""MainActivity.kt"",""主题.kt"",""build.gradle.kts""]",2,Theme.kt文件负责定义ComposeDemo应用程序用户界面的可视元素。
3,13,为什么预览面板在代码更改后无法更新？,"[""Kotlin版本已经过时"",""该应用程序缺少基本权限"",""该应用程序未安装在设备上"",""更改需要生成和刷新""]",3,对代码的重大更改可能需要手动构建和刷新以更新预览。
5,0,AVD创建后如何修改？,"[""通过从头开始创建一个新的AVD。"",""重新安装Android Studio。"",""通过在设备管理器中选择AVD并单击铅笔图标。"",""通过使用Gradle控制台。""]",2,设备管理器中的铅笔图标允许开发人员编辑现有的AVD配置，例如更改屏幕大小或硬件规格。
5,1,一个应用程序如何同时在多个avd上运行？,"[""通过在设备管理器中创建重复的avd。"",""通过打开Android Studio的多个实例。"",""通过手动选择每个AVD中的运行选项。"",""通过从 “运行目标” 菜单中选择要在多个设备上运行的选项。""]",3,“运行目标” 菜单允许开发人员选择多个avd或设备同时运行应用程序，从而更轻松地跨不同配置测试应用程序。
5,2,在AVD上运行应用程序时，开发人员如何解决问题？,"[""关闭并重新打开设备管理器。"",""重新安装AVD Manager。"",""重新启动Android Studio IDE。"",""使用 “运行工具” 窗口中的诊断输出。""]",3,“运行工具” 窗口显示有关应用启动和运行时行为的详细信息，帮助开发人员识别和修复问题。
5,3,如何改变AVD的启动方向？,"[""通过更改AndroidManifest.xml文件中的方向。"",""通过重新启动AVD管理器。"",""通过旋转模拟器窗口。"",""通过设备管理器中的AVD设置。""]",3,可以通过设备管理器中的AVD设置来设置启动方向，从而允许仿真器以纵向或横向模式启动。
5,4,在Android Studio中实时编辑功能不能做什么？,"[""将更改应用于现有函数的主体。"",""自动应用更改，而无需重新生成项目。"",""处理添加或删除新功能。"",""更新正在运行的应用程序的外观。""]",2,实时编辑仅限于现有函数中的更改，并且不支持在不重新生成项目的情况下添加或删除函数。
5,5,AVD创建对话框中的 “x86图像” 选项卡提供了什么？,"[""只能访问基于ARM的系统映像。"",""与旧的Android设备的兼容性。"",""屏幕分辨率的配置。"",""在仿真中支持基于Intel的处理器。""]",3,“x86映像” 选项卡提供针对英特尔处理器优化的系统映像，允许在兼容硬件上更快地进行仿真。
5,6,在AVD上测试应用程序时，“运行工具” 窗口的常见用途是什么？,"[""更改AVD显示大小。"",""配置系统映像。"",""在应用程序启动过程中显示诊断信息。"",""来编辑AndroidManifest.xml文件。""]",2,“运行工具” 窗口提供有关应用程序启动过程的重要信息，帮助开发人员解决测试期间可能出现的问题。
5,7,在单独的窗口中运行AVD而不是嵌入在Android Studio中的优势是什么？,"[""它允许更好的性能和更少的内存使用。"",""它会自动更新AVD配置。"",""它可以独立移动，在管理屏幕空间方面提供更大的灵活性。"",""它提供了对更多仿真功能的访问。""]",2,在单独的窗口中运行模拟器可以使开发人员更好地管理工作区，尤其是在处理多个屏幕或应用程序时。
5,8,创建Android虚拟设备 (AVD) 的主要目的是什么？,"[""允许在没有物理设备的情况下测试Android应用程序。"",""自动更新Android SDK。"",""在Android Studio中管理用户帐户。"",""以取代Android Studio中编码的需求。""]",0,AVDs模拟Android设备，使开发人员能够在受控环境中测试应用程序，而无需使用物理设备。
5,9,在Android Studio中实时编辑的目的是什么？,"[""自动创建AVD。"",""配置AVD系统映像。"",""启用在模拟器中运行的应用程序的实时更新，而无需重新生成。"",""管理多个模拟器。""]",2,实时编辑允许开发人员实时查看代码更改的影响，而无需重新启动或重建整个应用程序，从而使测试更加高效。
5,10,必须在虚拟设备配置对话框中选择什么才能为特定设备型号创建新的AVD？,"[""设备类别"",""Gradle版本"",""Java版本"",""系统映像""]",0,在虚拟设备配置对话框中，必须选择设备类别 (例如，电话) 以选择用于创建AVD的适当模板。
5,11,如果所需的系统映像在AVD创建期间不可用，应该怎么做？,"[""更改项目的Android版本。"",""通过AVD Manager中提供的链接下载系统映像。"",""安装Android Studio更新。"",""重新启动设备管理器。""]",1,如果未安装所需的系统映像，则AVD管理器提供下载链接以在继续AVD创建之前直接获取它。
5,12,哪个选项允许AVD仿真器在没有设备帧的情况下显示？,"[""禁用模拟器设置中的 “显示帧” 选项。"",""在Android Studio中启用黑暗模式。"",""修改AndroidManifest.xml文件。"",""使用不同的设备配置文件重新安装AVD。""]",0,可以在AVD设置中关闭启用设备框架选项，以显示没有设备视觉框架的仿真器，从而创建更简单的视图。
5,13,哪个工具用于在Android Studio中创建和管理AVDs？,"[""Android SDK管理器"",""Android Studio IDE"",""设备管理器"",""Gradle控制台""]",2,Android Studio中的设备管理器允许开发人员创建、配置和管理Android虚拟设备 (avd)。
5,14,创建新的AVD时应选择哪个版本的Android？,"[""任何版本，因为它不影响测试。"",""最新版本的Android。"",""最旧的可用版本的兼容性。"",""与Android SDK版本匹配的版本。""]",1,使用最新版本的Android可确保AVD具有最新的功能和API级别，使其适合测试新应用程序。
5,15,为什么在AVD设置期间，系统映像旁边可能会出现 “下载” 链接？,"[""访问Android SDK文档。"",""下载最新版本的Android Studio。"",""安装尚未下载以在AVD中使用的系统映像。"",""更新Android Studio设置。""]",2,如果缺少所需的系统映像，则下载链接允许开发人员下载并安装它以在虚拟设备中使用。
6,0,开发人员如何更改仿真设备的方向？,"[""通过拖动模拟器窗口的角落。"",""通过调整模拟器窗口的大小。"",""通过扩展控制面板中的 “显示” 设置。"",""使用工具栏中的 “向左/向右旋转” 按钮。""]",3,旋转左/右按钮允许开发人员在纵向和横向模式之间快速切换模拟器的方向。
6,1,开发人员如何在AVD模拟器中模拟不同的网络条件？,"[""通过调整 “连接” 设置。"",""通过更改模拟器分辨率。"",""通过使用扩展控制面板中的 “蜂窝” 设置。"",""通过 “网络” 设置。""]",2,蜂窝设置允许开发人员模拟各种网络条件，包括不同的连接类型和漫游等场景。
6,2,如何调整AVD仿真器窗口大小？,"[""通过拖动模拟器窗口的角或边。"",""通过使用新的大小设置重新启动模拟器。"",""通过选择不同的设备配置文件。"",""通过选择菜单中的调整大小选项。""]",0,可以通过单击并拖动其边缘来调整模拟器窗口的大小，从而使开发人员可以根据需要调整显示器的大小。
6,3,“扩展控件” 面板在AVD仿真器中提供了什么？,"[""仿真器的高级配置选项，如位置、蜂窝设置和虚拟传感器。"",""物理设备的设备管理工具。"",""设置以更改IDE布局。"",""能够在不同的Android版本之间切换。""]",0,AVD仿真器中的扩展控件面板提供了详细的配置选项，允许开发人员在虚拟设备中模拟不同的条件和行为。
6,4,AVD模拟器工具栏中的 “截图” 选项做什么？,"[""捕获所有打开的Android Studio窗口的屏幕截图。"",""捕获当前开发环境的屏幕截图。"",""将当前仿真器显示的屏幕截图保存到指定位置。"",""向连接的物理设备发送屏幕截图。""]",2,“截屏” 选项捕获当前仿真器显示的图像，并将其保存到设置中定义的位置。
6,5,AVD模拟器中的 “缩放模式” 功能允许您做什么？,"[""调整模拟器的屏幕分辨率。"",""更改AVD窗口的大小。"",""放大仿真器显示的特定区域。"",""放大和缩小Android Studio界面。""]",2,缩放模式允许开发人员放大模拟器显示的特定部分，从而更容易在测试过程中关注小细节。
6,6,在AVD仿真器中使用指纹仿真之前需要什么？,"[""配置备份屏幕解锁方法，如PIN。"",""在AVD上启用开发人员模式。"",""安装其他指纹驱动程序。"",""在指纹模式下重新启动模拟器。""]",0,在启用指纹安全之前，必须配置PIN等备份方法，以反映物理Android设备的行为。
6,7,在AVD仿真器中使用快速启动快照的优势是什么？,"[""它们允许访问更多设备型号。"",""他们会自动更新Android版本。"",""提高屏幕分辨率。"",""它们减少了启动模拟器所需的时间。""]",3,快速启动快照允许仿真器从其最后状态恢复，而不是执行冷启动，从而大大减少了启动时间。
6,8,在AVD模拟器中使用 “记录和播放” 功能有什么好处？,"[""它调整模拟器的屏幕分辨率。"",""它允许测试不同的Android版本。"",""它可以自动更新到仿真器软件。"",""它记录用于调试或创建教程的模拟器屏幕和音频。""]",3,记录和回放功能使开发人员能够捕获模拟器会话，这对于查看应用行为或创建演示非常有用。
6,9,AVD模拟器中 “快照” 功能的功能是什么？,"[""创建新的设备配置文件。"",""启用Google Play服务。"",""保存和恢复模拟器的状态。"",""以获取当前屏幕的屏幕截图。""]",2,快照允许开发人员保存仿真器的确切状态，从而可以将仿真器快速恢复到特定的时间点。
6,10,模拟器工具栏中的 “电源” 按钮的目的是什么？,"[""关闭模拟器窗口。"",""启用或禁用模拟器的音频输出。"",""重新启动AVD仿真器会话。"",""模拟Android设备上的物理电源按钮。""]",3,电源按钮模仿真实Android设备的物理电源按钮，允许锁定屏幕或启动断电序列等操作。
6,11,Android Studio AVD模拟器的目的是什么？,"[""创建新的Android设备型号。"",""管理物理设备上的Android SDK版本。"",""完全取代对物理Android设备的需求。"",""模拟不同的Android设备和测试应用程序，而不需要物理设备。""]",3,Android Studio中的AVD模拟器允许开发人员模拟各种设备配置以进行测试，这在物理设备不可用时特别有用。
6,12,哪个模拟器功能对于测试响应物理运动的应用程序很有用？,"[""显示模式"",""位置设置"",""快照"",""虚拟传感器""]",3,虚拟传感器选项允许开发人员模拟物理运动，如旋转和倾斜，使其对于测试对设备运动做出反应的应用程序非常有用。
6,13,哪个功能允许开发人员使用AVD模拟器测试可折叠设备的应用程序？,"[""显示模式"",""折叠装置"",""左/右分割"",""缩放模式""]",1,AVD仿真器中的折叠设备选项专门用于模拟可折叠设备的行为，使开发人员可以测试其应用程序在不同折叠状态下的功能。
6,14,哪个功能允许您在AVD模拟器中模拟不同的电池状态？,"[""蓄电池"",""能源"",""电源"",""快照""]",0,扩展控件面板中的电池选项允许开发人员模拟不同的电池电量，充电状态和健康状况，从而更轻松地测试应用程序如何响应各种电池状况。
6,15,AVD仿真器中的哪个功能允许测试双屏设备？,"[""显示器"",""折叠装置"",""快照"",""缩放模式""]",0,“显示” 功能允许在同一模拟器会话中添加其他屏幕，从而可以测试双屏设备的应用程序。
6,16,哪些文件格式可用于在AVD仿真器中模拟设备运动？,"[""CSV和TXT"",""GPX和KML"",""HTML和CSS"",""XML和JSON""]",1,GPX (GPS交换) 和KML (锁孔标记语言) 文件可用于提供位置数据，模拟仿真器内的设备移动。
6,17,以下哪项允许您使用单个AVD模拟器测试不同屏幕尺寸的应用程序？,"[""显示设置"",""Google Play选项"",""可调整大小的仿真器"",""快照""]",2,可调整大小的仿真器允许开发人员在不同的屏幕尺寸之间切换，从而更轻松地测试应用程序如何适应各种设备形状因素。
7,0,如何在Android Studio中更改主题？,"[""通过修改build.gradle文件"",""通过从欢迎屏幕中选择主题"",""通过设备管理器"",""使用 “外观和行为” 下的 “设置” 对话框""]",3,可以在 “外观和行为” 下的 “设置” 对话框中更改主题，从而允许用户从 “暗”，“亮” 和 “暗” 等选项中进行选择。
7,1,如何访问Android Studio键盘快捷键的PDF？,"[""通过打开 “项目工具” 窗口"",""通过右键单击导航栏"",""通过选择帮助-> 键盘快捷键PDF菜单选项"",""通过设备管理器""]",2,用户可以通过Android Studio中的 “帮助” 菜单查看和打印所有可用键盘快捷键的PDF列表。
7,2,如何在Android Studio主窗口中自定义工具栏？,"[""通过更改项目的生成设置"",""通过编辑AndroidManifest.xml文件"",""通过右键单击工具栏并选择自定义工具栏"",""通过使用设备管理器""]",2,右键单击工具栏允许用户自定义其布局，并添加或删除常用操作的快捷方式。
7,3,如何在Android Studio中隐藏或显示工具窗口？,"[""通过更改AndroidManifest.xml"",""通过单击工具窗口栏中的相应按钮"",""通过关闭并重新打开项目"",""通过选择不同的主题""]",1,单击工具栏中的工具窗口按钮将显示或隐藏相应的窗口，例如项目工具窗口或Logcat。
7,4,什么是Logcat工具窗口显示？,"[""可用的avd列表"",""最近的项目列表"",""代码中的错误和警告"",""正在运行的应用程序的日志输出""]",3,Logcat工具窗口显示来自正在运行的应用程序的日志，这对于调试和跟踪应用程序行为很有用。
7,5,“版本控制工具” 窗口提供对哪些内容的访问？,"[""配置Android Studio主题"",""编辑应用布局"",""与Git存储库交互并查看代码更改"",""管理AVD实例""]",2,版本控制窗口用于管理源代码控制任务，例如与Git存储库交互和查看提交历史记录。
7,6,“终端工具” 窗口提供什么功能？,"[""用于与系统交互的命令行界面"",""所有最近文件的列表"",""应用程序的UI的可视化表示"",""访问AVD Manager""]",0,终端窗口允许开发人员直接在Android Studio中执行命令行命令，例如git命令或shell脚本。
7,7,Android Studio中的状态栏提供了哪些信息？,"[""最近文件的历史记录"",""所有已安装插件的列表"",""有关项目和IDE活动的信息性消息"",""当前编辑的类的结构""]",2,状态栏显示有关项目状态和IDE活动的消息，并允许进行交互以获取更详细的信息。
7,8,Android Studio中项目工具窗口的默认视图模式是什么？,"[""Android视图"",""文件视图"",""Java视图"",""XML视图""]",0,Android视图模式是默认设置，它将项目文件组织为针对Android开发优化的结构。
7,9,Android Studio中导航栏的功能是什么？,"[""更改IDE的主题"",""显示诊断消息"",""在项目中的文件和类之间导航"",""在打开的项目之间切换""]",2,导航栏提供了一种在文件和类之间移动的快速方法，显示项目结构的分层视图。
7,10,Android Studio欢迎屏幕的目的是什么？,"[""显示编码教程"",""安装Android SDK更新"",""管理设备连接"",""提供用于打开、创建和管理项目的选项""]",3,欢迎屏幕允许用户创建新项目、打开现有项目、管理版本控制项目以及自定义IDE设置。
7,11,“设备管理器工具” 窗口的用途是什么？,"[""访问Android SDK更新"",""添加、删除和管理物理和虚拟Android设备"",""配置Gradle设置"",""管理项目中的文件""]",1,设备管理器允许用户管理用于测试和调试目的的avd和物理设备连接。
7,12,Android Studio中的App Quality Insights工具窗口的作用是什么？,"[""访问Firebase崩溃和性能数据"",""调试Android虚拟设备"",""设计应用布局"",""管理应用程序生成配置""]",0,App Quality Insights提供对Firebase崩溃和性能分析的访问，帮助开发人员提高app质量。
7,13,Android Studio欢迎屏幕何时出现？,"[""安装新的Android SDK版本后"",""每次Android Studio发布"",""仅在创建新项目后"",""当Android Studio在没有打开项目的情况下启动时""]",3,未打开任何项目时，将显示欢迎屏幕。如果在上一个会话中打开了某个项目，Android Studio将跳过此屏幕并重新打开上一个项目。
7,14,Android Studio界面的哪个组件提供对最近项目和版本控制的访问？,"[""主窗口"",""菜单栏"",""“项目工具” 窗口"",""欢迎屏幕""]",3,欢迎屏幕列出了最近的项目，并提供了用于访问版本控制下的项目的选项。
7,15,哪个键盘快捷键在Android Studio中打开切换器？,"[""Ctrl-E"",""Ctrl-R"",""Ctrl-S"",""Ctrl-Tab""]",3,可以使用ctrl-tab快捷方式访问切换器，使用户可以在打开的文件和工具窗口之间快速导航。
7,16,Android Studio界面的哪个部分显示当前正在编辑的文件的内容？,"[""编辑器窗口"",""导航栏"",""“项目工具” 窗口"",""状态栏""]",0,编辑器窗口是显示和编辑当前打开文件的内容的地方。它支持多个选项卡同时处理不同的文件。
7,17,哪个工具窗口允许您在应用程序运行时检查和修改应用程序的数据库？,"[""App检查"",""Gradle"",""布局检查器"",""Logcat""]",0,应用程序检查工具窗口包含一个数据库检查器，允许开发人员在运行时检查、查询和修改应用程序数据库。
7,18,哪个工具窗口提供了用于查看项目生成警告和错误的中心位置？,"[""设备文件资源管理器"",""Logcat"",""问题"",""“运行工具” 窗口""]",2,“问题” 工具窗口合并了项目中检测到的所有警告和错误，从而更容易从单个位置解决这些问题。
7,19,在Android Studio的构建过程中，哪个窗口提供实时更新？,"[""“生成工具” 窗口"",""Logcat"",""“运行工具” 窗口"",""终端""]",0,“生成工具” 窗口显示生成过程的进度，包括编译项目所涉及的各个步骤。
8,0,什么命令列出了使用ADB连接的AVD或物理设备？,"[""adb connect-设备"",""adb设备"",""adb列表-设备"",""adb show-设备""]",1,adb设备命令列出所有当前连接的设备，同时显示avd和物理Android设备。
8,1,如果需要在Windows上重新启动ADB服务器，应该运行什么命令？,"[""adb kill-服务器 & & adb start-服务器"",""adb重启-服务器"",""adb启动"",""adb启动-服务器""]",0,运行adb kill-server，然后运行adb start-server将停止任何现有的ADB服务器并启动一个新的服务器。
8,2,Android设备上的 “允许USB调试” 对话框是什么？,"[""它允许开发系统访问设备数据。"",""它允许设备连接到任何Wi-Fi网络。"",""它使设备能够扎根。"",""它授予开发系统在设备上部署和调试应用程序的权限。""]",3,允许USB调试使开发系统可以在连接的Android设备上部署和调试应用程序。
8,3,如果ADB无法在macOS上检测到设备，常见的故障排除步骤是什么？,"[""注销并返回macOS桌面。"",""重新安装macOS。"",""将Android设备重置为出厂设置。"",""卸载并重新安装Android Studio。""]",0,注销并重新登录可以帮助重置系统级权限，这可能会干扰ADBs检测连接设备的能力。
8,4,在Android设备上进行无线调试需要什么？,"[""将设备连接到LAN电缆。"",""仅启用USB调试。"",""在开发人员选项中启用无线调试。"",""生根的Android设备。""]",2,必须通过开发人员选项启用无线调试，允许没有USB电缆的ADB连接。
8,5,ADB用于通信的默认端口是什么？,"[""5000"",""5037"",""5554"",""8080""]",1,ADB默认使用端口5037在开发系统和连接的设备之间进行通信。
8,6,“Adb设备” 命令的功能是什么？,"[""它在连接的设备上安装应用程序。"",""它列出了所有可用的Android sdk。"",""它重新启动ADB服务器。"",""它显示了连接的AVD和物理设备的列表。""]",3,adb devices命令显示当前连接的所有模拟器和ADB识别的物理Android设备的列表。
8,7,Android调试桥 (ADB) 的主要目的是什么？,"[""创建Android设备数据的备份。"",""促进Android Studio与AVD仿真器和Android设备之间的交互，以运行和调试应用程序。"",""直接在Android设备上安装应用程序。"",""管理Android设备上的用户帐户。""]",1,ADB是Android Studio等开发环境和Android设备之间的桥梁，允许开发人员在模拟器和物理设备上测试、运行和调试应用程序。
8,8,如果将Android设备连接到macOS系统后将其列为 “离线”，该怎么办？,"[""检查设备的USB调试权限对话框并允许它。"",""断开并重新连接USB电缆。"",""重新启动Android设备。"",""重新安装Android Studio。""]",0,如果设备显示为脱机，则通常意味着尚未在Android设备上授予允许USB调试的权限。
8,9,如果您的设备在ADB设备列表中被列为 “未经授权”，该怎么办？,"[""检查设备上的对话框以授权USB调试。"",""再次启用开发人员模式。"",""重新安装ADB驱动程序。"",""重新启动Android设备。""]",0,未经授权的状态意味着需要确认Android设备上用于USB调试的权限对话框。
8,10,哪个Android Studio功能允许您在IDE中查看物理设备的显示？,"[""设备仿真器"",""设备镜像"",""器件仿真"",""屏幕截图""]",1,通过设备镜像，您可以在运行 “设备” 工具窗口的Android Studios中查看物理设备的屏幕。
8,11,哪个命令用于重启ADB服务器？,"[""adb kill-服务器 & & adb start-服务器"",""adb重置-服务器"",""亚行重启"",""adb启动-服务器""]",0,要重新启动ADB服务器，命令序列首先使用ADB kill-server停止任何正在运行的adb服务器，然后使用adb start-server再次启动它。
8,12,Ubuntu用户使用ADB需要哪个组成员身份？,"[""adbuser"",""plugdev"",""根"",""sudo""]",1,plugdev组中的成员身份允许Ubuntu用户访问USB设备以进行ADB通信。
8,13,在Windows系统上配置ADB时，以下哪一项不是必需的步骤？,"[""执行 “android更新adb” 命令。"",""在PATH环境变量中包含Android SDK平台工具。"",""安装适当的USB驱动程序。"",""重新启动Android设备。""]",3,重新启动Android设备不是设置ADB的标准要求，尽管如果出现连接问题可能会有用。
8,14,在ADB可以通过USB连接连接到Android设备之前，需要以下哪一项？,"[""开发系统必须使用Linux。"",""设备必须处于恢复模式。"",""该设备必须是根设备。"",""设备必须启用USB调试。""]",3,USB调试允许Android设备与ADB通信，从而可以从开发环境部署和调试应用程序。
8,15,要使用Wi-Fi配对Android设备，应在 “运行目标” 菜单中选择哪个选项？,"[""设备同步"",""启用AVD配对"",""使用WiFi配对设备"",""设备连接故障排除""]",2,通过 “运行目标” 菜单中的此选项，开发人员可以将物理Android设备与Android Studio配对以进行无线调试。
8,16,必须在Ubuntu Linux上安装哪个软件包才能使ADB在物理设备上进行测试？,"[""android-studio-adb"",""android-工具-adb"",""linux-工具-adb"",""ubuntu-adb-工具""]",1,在Ubuntu Linux上，android-tools-adb包提供了与android设备通信所需的ADB工具。
8,17,与仅使用AVD相比，为什么在物理设备上进行测试很重要？,"[""Avd不支持调试。"",""在所有情况下，物理设备都比avd快。"",""物理设备具有更好的显示分辨率。"",""某些Android功能仅在物理设备上可用。""]",3,某些特定于硬件的功能和行为只能在物理设备上进行测试，因此在真实环境中测试应用程序至关重要。
8,18,为什么用户在ADB配置期间需要重新启动系统？,"[""应用对系统设置 (如组成员身份或驱动程序安装) 所做的更改。"",""清除所有ADB连接。"",""重置Android设备。"",""更新Android Studio。""]",0,重新启动系统可以确保所做的任何更改 (如新的驱动程序安装或组成员身份更新) 生效。
8,19,为什么可能需要在Windows上安装制造商特定的ADB驱动程序？,"[""因为通用驱动程序不支持所有设备的ADB功能。"",""访问设备的引导加载程序。"",""允许无线调试。"",""以实现更快的应用程序部署。""]",0,不同的Android设备制造商可能需要特定的USB驱动程序，以便ADB在Windows系统上识别其设备。
9,0,用户如何从Android Studio主窗口中分离编辑器面板？,"[""单击工具栏中的 “拆卸” 按钮"",""将选项卡拖动到桌面的不同部分"",""右键单击并选择 “分离面板”"",""使用Ctrl D键盘快捷键""]",1,将选项卡拖到主窗口之外允许用户分离面板并将其放在单独的窗口中。
9,1,用户如何在Android Studio编辑器中启用或禁用行号？,"[""通过调整代码完成设置"",""在装订线中单击鼠标右键，然后选择 “显示行号”"",""通过查看菜单"",""使用键盘快捷键Ctrl L""]",1,用户可以通过在编辑器装订线区域中单击鼠标右键并选择 “显示行号” 选项来启用或禁用行号。
9,2,用户如何在Android Studio中修改参数名称提示的行为？,"[""调整验证和标记侧边栏"",""通过更改语言设置"",""在编辑器-> 镶嵌提示下的设置对话框中"",""使用参数向导工具""]",2,可以通过导航到 “设置” 对话框的 “嵌体提示” 部分来调整参数名称提示设置，从而控制其显示。
9,3,如何在Android Studio中自定义代码完成行为？,"[""通过调整边栏设置"",""在编辑器-> 常规-> 代码完成下的设置对话框"",""通过查看菜单"",""使用自定义插件""]",1,可以通过 “设置” 对话框自定义代码完成设置，从而允许用户根据自己的喜好调整建议和行为。
9,4,如何在拆分后将编辑器窗口返回到单个面板？,"[""单击 “合并” 按钮"",""将面板拖回到主窗口"",""右键单击任何选项卡，然后选择 “不拆分”"",""使用Ctrl U键盘快捷键""]",2,要恢复为单个面板，请右键单击拆分面板中的选项卡，然后从上下文菜单中选择 “取消拆分”。
9,5,如何在Android Studio中查看方法的参数信息？,"[""通过将悬停在方法名称上"",""单击边栏中的参数名称"",""右键单击并选择 “视图参数”"",""使用Ctrl P键盘顺序""]",3,Ctrl P显示方法的参数信息，显示可以传递给方法的参数。
9,6,Android Studio中使用的实时模板是什么？,"[""显示方法参数提示"",""折叠和展开代码块"",""快速插入常用代码片段"",""将代码组织到多个文件中""]",2,实时模板允许开发人员通过键入快捷方式，然后按Tab键，快速插入常见的代码模式。
9,7,验证和标记侧边栏显示什么？,"[""断点和书签"",""当前文件名和状态"",""打开的文件列表"",""实时分析代码中的警告和错误""]",3,验证和标记侧栏提供有关代码问题的实时反馈，在编写代码时突出显示错误和警告。
9,8,验证和标记侧边栏中的绿色复选标记表示什么？,"[""所有测试均已通过"",""文件已成功保存"",""项目已准备好部署"",""代码中没有错误或警告""]",3,绿色复选标记表示代码当前没有检测到警告或错误，表示已准备好进行编译。
9,9,什么功能允许在Android Studio中折叠和展开代码块？,"[""代码完成"",""代码折叠"",""代码生成"",""文档选项卡""]",1,代码折叠使用户能够折叠和扩展代码块，通过专注于相关部分来帮助管理大型代码文件。
9,10,Android Studio中的什么功能允许自动生成代码存根，如覆盖方法？,"[""代码完成"",""代码折叠"",""代码生成"",""实时模板""]",2,代码生成允许开发人员使用Alt Insert等快捷方式快速创建代码结构，例如覆盖方法。
9,11,Android Studio编辑器的哪些功能有助于通过建议语句的完成来最大程度地减少键入工作？,"[""代码完成"",""代码折叠"",""文档选项卡"",""参数信息""]",0,代码完成在键入代码时提供建议，通过基于上下文提供可能的完成来减少手动键入的需要。
9,12,Android Studio中的 “查找示例代码” 功能提供什么功能？,"[""显示选定类或方法的示例代码"",""生成随机代码样本"",""突出显示代码错误"",""提供代码模板""]",0,查找示例代码功能显示与所选类或方法相关的示例代码，帮助开发人员了解它们的用法。
9,13,Android Studio中编辑器天沟区域的目的是什么？,"[""显示代码结构"",""显示信息图标，如断点和书签"",""管理代码完成设置"",""在不同文件之间导航""]",1,编辑器装订线区域提供用于调试的图标、代码折叠控件、行号和其他标记，使管理和导航代码更加容易。
9,14,哪个功能允许用户在Android Studio中自动完成方法的括号和大括号？,"[""代码折叠"",""代码生成"",""实时模板"",""语句完成""]",3,语句完成会自动填写括号、大括号和其他常见语法元素，以节省编码时间。
