章节号,章节标题,简化标题,习题网址,实际网址
37,Jetpack Compose中的Coroutines和LaunchedEffects,Kotlin Coroutines和LaunchedEffects测验,https://www.answertopia.com/vro7,https://www.answertopia.com/quizzes/kotlin-coroutines-and-launchedeffects-quiz/
38,Compose中的Lists和Grids概述,Compose Row和Column列表测验,https://www.answertopia.com/iifq,https://www.answertopia.com/quizzes/compose-row-and-column-list-quiz/
40,Compose Lazy List教程,Compose Lazy List测验,https://www.answertopia.com/ziwi,https://www.answertopia.com/quizzes/compose-lazy-list-quiz/
41,设计自适应的列表-详细信息布局,Compose列表-详细信息布局测验,https://www.answertopia.com/of9z,https://www.answertopia.com/quizzes/compose-list-detail-layouts-quiz/
42,Lazy List粘性标题和滚动检测,Compose粘性标题测验,https://www.answertopia.com/su6b,https://www.answertopia.com/quizzes/compose-sticky-headers-quiz/
43,Compose Lazy交错Grid教程,Compose交错Grid测验,https://www.answertopia.com/puyx,https://www.answertopia.com/quizzes/compose-staggered-grid-quiz/
44,VerticalPager和HorizontalPager在Compose中,Compose Pagers测验,https://www.answertopia.com/arsi,https://www.answertopia.com/quizzes/compose-pagers-quiz/
45,Compose可视动画,Compose可视动画测验,https://www.answertopia.com/22fd,https://www.answertopia.com/quizzes/compose-visibility-animation-quiz/
46,Compose状态驱动动画,Compose状态驱动动画测验,https://www.answertopia.com/u2s6,https://www.answertopia.com/quizzes/compose-state-driven-animation-quiz/
47,Compose中的Cavnas图形绘制,Compose Canvas绘制测验,https://www.answertopia.com/syit,https://www.answertopia.com/quizzes/compose-canvas-drawing-quiz/
48,在Compose中使用ViewModels,Compose ViewModel测验,https://www.answertopia.com/dooi,https://www.answertopia.com/quizzes/compose-viewmodel-quiz/
50,Android SQLite数据库概述,SQLite数据库测验,https://www.answertopia.com/hl7q,https://www.answertopia.com/quizzes/sqlite-databases-quiz/
51,Room数据库和Compose,Compose Room数据库测验（一）,https://www.answertopia.com/ay27,https://www.answertopia.com/quizzes/compose-room-database-quiz-pt-1/
52,Compose Room数据库和Repository教程,Compose Room数据库测验（二）,https://www.answertopia.com/u9zq,https://www.answertopia.com/quizzes/compose-room-database-quiz-pt-2/
53,Navigation 3和NavDisplay,Compose Navigation3测验,https://www.answertopia.com/4bwm,https://www.answertopia.com/quizzes/compose-navigation-3-quiz/
54,Navigation3 NavDisplay教程,Compose Navigation测验,https://www.answertopia.com/4ti2,https://www.answertopia.com/quizzes/compose-navigation-quiz/
55,NavigationSuiteScaffold底部栏和侧边栏导航,Compose NavigationSuiteScaffold测验,https://www.answertopia.com/to9y,https://www.answertopia.com/quizzes/compose-navigationsuitescaffold-quiz/
56,检测Compose中的手势,Compose手势检测测验,https://www.answertopia.com/bu12,https://www.answertopia.com/quizzes/compose-gesture-detection-quiz/
57,Kotlin Flow简介,Kotlin Flow测验,https://www.answertopia.com/k7nn,https://www.answertopia.com/quizzes/kotlin-flow-quiz/
58,Jetpack Compose SharedFlow教程,Kotlin SharedFlow测验,https://www.answertopia.com/ytdi,https://www.answertopia.com/quizzes/kotlin-sharedflow-quiz/
59,将Gemini AI集成到Android应用程序中,Gemini AI概览测验,https://www.answertopia.com/387k,https://www.answertopia.com/quizzes/gemini-ai-overview-quiz/
60,准备Gemini Firebase AI逻辑项目,Gemini Firebase AI逻辑测验,https://www.answertopia.com/54ex,https://www.answertopia.com/quizzes/gemini-firebase-ai-logic-quiz/
63,Gemini AI图像生成,Gemini AI图像测验,https://www.answertopia.com/lhvy,https://www.answertopia.com/quizzes/gemini-ai-imagen-quiz/
64,介绍Glance Widget,Compose Glance Widget测验（一）,https://www.answertopia.com/bozf,https://www.answertopia.com/quizzes/compose-glance-widget-quiz-pt-1/
65,Glance Widget教程,Compose Glance Widget测验（二）,https://www.answertopia.com/ueor,https://www.answertopia.com/quizzes/compose-glance-widget-quiz-pt-2/
66,Android生物认证教程,Compose生物认证测验,https://www.answertopia.com/omwl,https://www.answertopia.com/quizzes/compose-biometric-authentication-quiz/
67,使用Compose主题,Compose主题测验（一）,https://www.answertopia.com/r60u,https://www.answertopia.com/quizzes/compose-theme-quiz-pt-1/
68,Material Design 3主题教程,Compose主题测验（二）,https://www.answertopia.com/0i5i,https://www.answertopia.com/quizzes/compose-theme-quiz-pt-2/
