章节号,章节标题,简化标题,习题网址,实际网址
48,Working with ViewModels in Compose,Compose ViewModel Quiz,https://www.answertopia.com/dooi,https://www.answertopia.com/quizzes/compose-viewmodel-quiz/
50,An Overview of Android SQLite Databases,SQLite Databases Quiz,https://www.answertopia.com/hl7q,https://www.answertopia.com/quizzes/sqlite-databases-quiz/
51,"Room Databases and Compose ",Compose Room Database Quiz Pt 1,https://www.answertopia.com/ay27,https://www.answertopia.com/quizzes/compose-room-database-quiz-pt-1/
52,A Compose Room Database and Repository Tutorial,Compose Room Database Quiz Pt 2,https://www.answertopia.com/u9zq,https://www.answertopia.com/quizzes/compose-room-database-quiz-pt-2/
53,Navigation 3 and NavDisplay,Compose Navigation 3 Quiz,https://www.answertopia.com/4bwm,https://www.answertopia.com/quizzes/compose-navigation-3-quiz/
54,A Navigation 3 NavDisplay Tutorial,Compose Navigation Quiz,https://www.answertopia.com/4ti2,https://www.answertopia.com/quizzes/compose-navigation-quiz/
55,NavigationSuiteScaffold Bar and Rail Navigation,Compose NavigationSuiteScaffold Quiz,https://www.answertopia.com/to9y,https://www.answertopia.com/quizzes/compose-navigationsuitescaffold-quiz/
56,Detecting Gestures in Compose,Compose Gesture Detection Quiz,https://www.answertopia.com/bu12,https://www.answertopia.com/quizzes/compose-gesture-detection-quiz/
57,An Introduction to Kotlin Flow,Kotlin Flow Quiz,https://www.answertopia.com/k7nn,https://www.answertopia.com/quizzes/kotlin-flow-quiz/
58,A Jetpack Compose SharedFlow Tutorial,Kotlin SharedFlow Quiz,https://www.answertopia.com/ytdi,https://www.answertopia.com/quizzes/kotlin-sharedflow-quiz/
59,Integrating Gemini AI into Android Apps,Gemini AI Overview Quiz,https://www.answertopia.com/387k,https://www.answertopia.com/quizzes/gemini-ai-overview-quiz/
60,Preparing the Gemini Firebase AI Logic Project,Gemini Firebase AI Logic Quiz,https://www.answertopia.com/54ex,https://www.answertopia.com/quizzes/gemini-firebase-ai-logic-quiz/
63,Gemini AI Image Generation,Gemini AI Imagen Quiz,https://www.answertopia.com/lhvy,https://www.answertopia.com/quizzes/gemini-ai-imagen-quiz/
64,Introducing Glance Widgets,Compose Glance Widget Quiz Pt 1,https://www.answertopia.com/bozf,https://www.answertopia.com/quizzes/compose-glance-widget-quiz-pt-1/
65,A Glance Widget Tutorial,Compose Glance Widget Quiz Pt 2,https://www.answertopia.com/ueor,https://www.answertopia.com/quizzes/compose-glance-widget-quiz-pt-2/
66,An Android Biometric Authentication Tutorial,"Compose Biometric Authentication Quiz ",https://www.answertopia.com/omwl,https://www.answertopia.com/quizzes/compose-biometric-authentication-quiz/
67,Working with Compose Theming,Compose Theme Quiz Pt 1,https://www.answertopia.com/r60u,https://www.answertopia.com/quizzes/compose-theme-quiz-pt-1/
68,A Material Design 3 Theming Tutorial,Compose Theme Quiz Pt 2,https://www.answertopia.com/0i5i,https://www.answertopia.com/quizzes/compose-theme-quiz-pt-2/
