章节序号,题目序号,问题,选项,正确选项序号,解释
3,10,Where can the version of Jetpack Compose being used in a project be found?,"[""In the AndroidManifest.xml file"",""In the MainActivity.kt file"",""In the libs.versions.toml file"",""In the res folder""]",2,"The libs.versions.toml file contains the BOM version information, which specifies the version of Jetpack Compose being used."
3,11,Which build configuration language is used for the ComposeDemo project?,"[""Groovy (build.gradle)"",""Java"",""Kotlin DSL (build.gradle.kts)"",""XML""]",2,"Kotlin DSL is used as the build configuration language for the project, making the Gradle setup more idiomatic to Kotlin."
3,12,"Which file is used to define the colors, fonts, and shapes of the app's user interface?","[""AndroidManifest.xml"",""MainActivity.kt"",""Theme.kt"",""build.gradle.kts""]",2,The Theme.kt file is responsible for defining the visual elements of the ComposeDemo app’s user interface.
3,13,Why might the Preview panel fail to update after changes in the code?,"[""The Kotlin version is outdated"",""The app is missing essential permissions"",""The app is not installed on a device"",""The changes require a build and refresh""]",3,Major changes to the code might require a manual build and refresh to update the preview.
5,0,How can an AVD be modified after its creation?,"[""By creating a new AVD from scratch."",""By reinstalling Android Studio."",""By selecting the AVD in the Device Manager and clicking the pencil icon."",""By using the Gradle Console.""]",2,"The pencil icon in the Device Manager allows developers to edit existing AVD configurations, such as changing screen size or hardware specifications."
5,1,How can an app be run on multiple AVDs simultaneously?,"[""By creating duplicate AVDs in the Device Manager."",""By opening multiple instances of Android Studio."",""By selecting the Run option in each AVD manually."",""By selecting the option to run on multiple devices from the run target menu.""]",3,"The run target menu allows developers to choose multiple AVDs or devices on which to run the app simultaneously, making it easier to test the app across different configurations."
5,2,How can developers troubleshoot issues when running an app on an AVD?,"[""By closing and reopening the Device Manager."",""By re-installing the AVD Manager."",""By restarting the Android Studio IDE."",""By using the diagnostic output in the Run tool window.""]",3,"The Run tool window displays detailed information about the apps launch and runtime behavior, helping developers identify and fix issues."
5,3,How can the startup orientation of an AVD be changed?,"[""By changing the orientation in the AndroidManifest.xml file."",""By restarting the AVD Manager."",""By rotating the emulator window."",""Through the AVD settings in the Device Manager.""]",3,"The startup orientation can be set through the AVD settings in the Device Manager, allowing the emulator to start in either portrait or landscape mode."
5,4,What can the Live Edit feature NOT do in Android Studio?,"[""Apply changes to the body of existing functions."",""Automatically apply changes without rebuilding the project."",""Handle adding or removing new functions."",""Update the appearance of a running app.""]",2,Live Edit is limited to changes within existing functions and does not support adding or removing functions without rebuilding the project.
5,5,What does the 'x86 Images' tab in the AVD creation dialog offer?,"[""Access to ARM-based system images only."",""Compatibility with older Android devices."",""Configuration for screen resolution."",""Support for Intel-based processors in emulation.""]",3,"The x86 Images tab provides system images optimized for Intel processors, allowing for faster emulation on compatible hardware."
5,6,What is a common use for the Run tool window when testing an application on an AVD?,"[""To change the AVD display size."",""To configure system images."",""To display diagnostic information during the app launch process."",""To edit the AndroidManifest.xml file.""]",2,"The Run tool window provides valuable information about the apps launch process, helping developers troubleshoot issues that may occur during testing."
5,7,What is the advantage of running an AVD in a separate window instead of embedded in Android Studio?,"[""It allows for better performance and less memory usage."",""It automatically updates the AVD configuration."",""It can be moved independently, offering more flexibility in managing screen space."",""It provides access to more emulation features.""]",2,"Running the emulator in a separate window allows developers to manage the workspace better, especially when dealing with multiple screens or applications."
5,8,What is the primary purpose of creating an Android Virtual Device (AVD)?,"[""To allow testing of Android applications without a physical device."",""To automatically update the Android SDK."",""To manage user accounts in Android Studio."",""To replace the need for coding in Android Studio.""]",0,"AVDs simulate Android devices, enabling developers to test applications in a controlled environment without needing to use a physical device."
5,9,What is the purpose of Live Edit in Android Studio?,"[""To automate AVD creation."",""To configure AVD system images."",""To enable real-time updates of the app running in the emulator without needing to rebuild."",""To manage multiple emulators.""]",2,"Live Edit allows developers to see the impact of code changes in real-time without having to restart or rebuild the entire app, making testing more efficient."
5,10,What must be selected in the Virtual Device Configuration dialog to create a new AVD for a specific device model?,"[""Device Category"",""Gradle Version"",""Java Version"",""System Image""]",0,"In the Virtual Device Configuration dialog, the device category (e.g., Phone) must be selected to choose the appropriate template for creating an AVD."
5,11,What should be done if the required system image is not available during AVD creation?,"[""Change the Android version of the project."",""Download the system image via the provided link in the AVD Manager."",""Install the Android Studio update."",""Restart the Device Manager.""]",1,"If the needed system image is not installed, the AVD Manager provides a download link to obtain it directly before proceeding with AVD creation."
5,12,Which option allows the AVD emulator to be displayed without a device frame?,"[""Disabling the 'Show Frame' option in the Emulator settings."",""Enabling dark mode in Android Studio."",""Modifying the AndroidManifest.xml file."",""Reinstalling the AVD with a different device profile.""]",0,"The Enable device frame option can be turned off in the AVD settings to display the emulator without the visual frame of the device, creating a simpler view."
5,13,Which tool is used to create and manage AVDs in Android Studio?,"[""Android SDK Manager"",""Android Studio IDE"",""Device Manager"",""Gradle Console""]",2,"The Device Manager in Android Studio allows developers to create, configure, and manage Android Virtual Devices (AVDs)."
5,14,Which version of Android should be selected when creating a new AVD?,"[""Any version as it doesn't affect testing."",""The latest version of Android."",""The oldest available version for compatibility."",""The version that matches the Android SDK version.""]",1,"Using the latest version of Android ensures that the AVD has the most up-to-date features and API levels, making it suitable for testing new applications."
5,15,Why might the 'Download' link be available next to the system image during AVD setup?,"[""To access the Android SDK documentation."",""To download the latest version of Android Studio."",""To install a system image that is not yet downloaded for use in the AVD."",""To update Android Studio settings.""]",2,"If a required system image is missing, the Download link allows developers to download and install it for use in the virtual device."
6,0,How can developers change the orientation of the emulated device?,"[""By dragging the corners of the emulator window."",""By resizing the emulator window."",""Through the 'Displays' settings in the extended controls panel."",""Using the Rotate Left/Right buttons in the toolbar.""]",3,The Rotate Left/Right buttons allow developers to quickly switch the orientation of the emulator between portrait and landscape modes.
6,1,How can developers simulate different network conditions in the AVD emulator?,"[""By adjusting the 'Connection' settings."",""By changing the emulator resolution."",""By using the 'Cellular' settings in the extended controls panel."",""Through the 'Network' settings.""]",2,"The Cellular settings allow developers to simulate various network conditions, including different connection types and scenarios like roaming."
6,2,How can the AVD emulator window size be adjusted?,"[""By dragging the corners or sides of the emulator window."",""By restarting the emulator with a new size setting."",""By selecting a different device profile."",""By selecting the Resize option in the menu.""]",0,"The emulator window can be resized by clicking and dragging its edges, allowing developers to adjust the size of the display as needed."
6,3,What does the 'Extended Controls' panel provide access to in the AVD emulator?,"[""Advanced configuration options for the emulator, such as location, cellular settings, and virtual sensors."",""Device management tools for physical devices."",""Settings to change the IDE layout."",""The ability to switch between different Android versions.""]",0,"The Extended Controls panel in the AVD emulator offers detailed configuration options, allowing developers to simulate different conditions and behaviors within the virtual device."
6,4,What does the 'Take Screenshot' option do in the AVD emulator toolbar?,"[""Captures a screenshot of all open Android Studio windows."",""Captures a screenshot of the current development environment."",""Saves a screenshot of the current emulator display to a specified location."",""Sends a screenshot to the connected physical device.""]",2,The Take Screenshot option captures an image of the current emulator display and saves it to a location defined in the settings.
6,5,What does the 'Zoom Mode' feature in the AVD emulator allow you to do?,"[""Adjust the emulator's screen resolution."",""Change the size of the AVD window."",""Magnify specific areas of the emulator display."",""Zoom in and out of the Android Studio interface.""]",2,"Zoom Mode allows developers to zoom in on specific parts of the emulators display, making it easier to focus on small details during testing."
6,6,What is required before using fingerprint emulation in the AVD emulator?,"[""Configuring a backup screen unlocking method, such as a PIN."",""Enabling Developer Mode on the AVD."",""Installing additional fingerprint drivers."",""Restarting the emulator in fingerprint mode.""]",0,"Before fingerprint security can be enabled, a backup method like a PIN must be configured, which mirrors the behavior of physical Android devices."
6,7,What is the advantage of using quick-boot snapshots in the AVD emulator?,"[""They allow access to more device models."",""They automatically update the Android version."",""They increase the screen resolution."",""They reduce the time needed to start the emulator.""]",3,"Quick-boot snapshots allow the emulator to resume from its last state instead of performing a cold boot, significantly reducing startup time."
6,8,What is the benefit of using the 'Record and Playback' feature in the AVD emulator?,"[""It adjusts the emulator's screen resolution."",""It allows testing of different Android versions."",""It enables automatic updates to the emulator software."",""It records the emulator screen and audio for debugging or tutorial creation.""]",3,"The Record and Playback feature enables developers to capture emulator sessions, which can be useful for reviewing app behavior or creating demonstrations."
6,9,What is the function of the 'Snapshots' feature in the AVD emulator?,"[""To create new device profiles."",""To enable Google Play Services."",""To save and restore the emulator's state."",""To take a screenshot of the current screen.""]",2,"Snapshots allow developers to save the exact state of the emulator, making it possible to quickly restore the emulator to a specific point in time."
6,10,What is the purpose of the 'Power' button in the emulator toolbar?,"[""To close the emulator window."",""To enable or disable the emulator's audio output."",""To restart the AVD emulator session."",""To simulate the physical power button on an Android device.""]",3,"The Power button mimics the physical power button of a real Android device, allowing actions like locking the screen or initiating a power-off sequence."
6,11,What is the purpose of the Android Studio AVD emulator?,"[""To create new Android device models."",""To manage the Android SDK version on physical devices."",""To replace the need for physical Android devices entirely."",""To simulate different Android devices and test applications without needing physical devices.""]",3,"The AVD emulator in Android Studio allows developers to simulate various device configurations for testing, which can be particularly useful when physical devices are not available."
6,12,Which emulator feature is useful for testing apps that respond to physical movements?,"[""Display Mode"",""Location settings"",""Snapshots"",""Virtual Sensors""]",3,"The Virtual Sensors option allows developers to simulate physical movements like rotation and tilting, making it useful for testing apps that react to device motion."
6,13,Which feature allows developers to test apps for foldable devices using the AVD emulator?,"[""Display Mode"",""Fold Device"",""Split Left/Right"",""Zoom Mode""]",1,"The Fold Device option in the AVD emulator is specifically designed to simulate the behavior of foldable devices, allowing developers to test how their apps function in different fold states."
6,14,Which feature allows you to simulate different battery states in the AVD emulator?,"[""Battery"",""Energy"",""Power"",""Snapshots""]",0,"The Battery option in the extended controls panel allows developers to simulate different battery levels, charging states, and health conditions, making it easier to test how an app responds to various battery conditions."
6,15,Which feature in the AVD emulator allows testing of dual-screen devices?,"[""Displays"",""Fold Device"",""Snapshots"",""Zoom Mode""]",0,"The Displays feature allows additional screens to be added within the same emulator session, enabling testing of apps for dual-screen devices."
6,16,Which file formats can be used to simulate device movement in the AVD emulator?,"[""CSV and TXT"",""GPX and KML"",""HTML and CSS"",""XML and JSON""]",1,"GPX (GPS Exchange) and KML (Keyhole Markup Language) files can be used to provide location data, simulating a devices movement within the emulator."
6,17,Which of the following allows you to test apps in different screen sizes using a single AVD emulator?,"[""Display settings"",""Google Play option"",""Resizable Emulator"",""Snapshots""]",2,"A Resizable Emulator allows developers to switch between different screen sizes, making it easier to test how an app adapts to various device form factors."
7,0,How can a theme be changed in Android Studio?,"[""By modifying the build.gradle file"",""By selecting a theme from the Welcome Screen"",""Through the Device Manager"",""Using the Settings dialog under Appearance & Behavior""]",3,"Themes can be changed in the Settings dialog under Appearance & Behavior, allowing users to choose from options like Dark, Light, and Darcula."
7,1,How can you access a PDF of Android Studio keyboard shortcuts?,"[""By opening the Project Tool Window"",""By right-clicking on the navigation bar"",""By selecting the Help -> Keyboard Shortcuts PDF menu option"",""Through the Device Manager""]",2,Users can view and print a PDF listing of all available keyboard shortcuts through the Help menu in Android Studio.
7,2,How can you customize the toolbar in the Android Studio main window?,"[""By changing the project's build settings"",""By editing the AndroidManifest.xml file"",""By right-clicking on the toolbar and selecting Customize Toolbar"",""By using the Device Manager""]",2,Right-clicking the toolbar allows users to customize its layout and add or remove shortcuts to frequently used actions.
7,3,How can you hide or display a tool window in Android Studio?,"[""By changing the AndroidManifest.xml"",""By clicking on the corresponding button in the tool window bar"",""By closing and reopening the project"",""By selecting a different theme""]",1,"Clicking the tool window buttons in the bar will display or hide the corresponding windows, such as the Project Tool Window or Logcat."
7,4,What does the Logcat Tool Window display?,"[""A list of available AVDs"",""A list of recent projects"",""Errors and warnings in the code"",""Log output from a running application""]",3,"The Logcat Tool Window displays logs from a running app, which are useful for debugging and tracking app behavior."
7,5,What does the Version Control tool window provide access to?,"[""Configuring Android Studio themes"",""Editing app layouts"",""Interacting with Git repositories and viewing code changes"",""Managing AVD instances""]",2,"The Version Control window is used for managing source control tasks, such as interacting with Git repositories and viewing commit history."
7,6,What functionality does the Terminal tool window provide?,"[""A command-line interface for interacting with the system"",""A list of all recent files"",""A visual representation of the app's UI"",""Access to the AVD Manager""]",0,"The Terminal window allows developers to execute command-line commands directly within Android Studio, such as git commands or shell scripts."
7,7,What information does the Status Bar in Android Studio provide?,"[""A history of recent files"",""A list of all installed plugins"",""Informational messages about the project and IDE activities"",""The structure of the currently edited class""]",2,"The Status Bar displays messages about the projects status, activities of the IDE, and allows interaction for more detailed information."
7,8,What is the default view mode for the Project Tool Window in Android Studio?,"[""Android View"",""Files View"",""Java View"",""XML View""]",0,"The Android View mode is the default setting, which organizes the projects files into a structure optimized for Android development."
7,9,What is the function of the Navigation Bar in Android Studio?,"[""To change the theme of the IDE"",""To display diagnostic messages"",""To navigate through files and classes within the project"",""To switch between open projects""]",2,"The Navigation Bar provides a quick way to move between files and classes, displaying a hierarchical view of the project structure."
7,10,What is the purpose of the Android Studio welcome screen?,"[""To display coding tutorials"",""To install Android SDK updates"",""To manage device connections"",""To provide options for opening, creating, and managing projects""]",3,"The welcome screen allows users to create new projects, open existing ones, manage version control projects, and customize IDE settings."
7,11,What is the purpose of the Device Manager tool window?,"[""To access Android SDK updates"",""To add, remove, and manage physical and virtual Android devices"",""To configure Gradle settings"",""To manage files in the project""]",1,The Device Manager allows users to manage AVDs and physical device connections for testing and debugging purposes.
7,12,What is the role of the App Quality Insights tool window in Android Studio?,"[""To access Firebase crash and performance data"",""To debug Android Virtual Devices"",""To design app layouts"",""To manage app build configurations""]",0,"App Quality Insights provides access to crash and performance analytics from Firebase, helping developers improve app quality."
7,13,When does the Android Studio welcome screen appear?,"[""After installing a new Android SDK version"",""Every time Android Studio is launched"",""Only after a new project is created"",""When Android Studio is launched with no open projects""]",3,"The welcome screen is displayed when no projects are open. If a project was open during the previous session, Android Studio will skip this screen and reopen the last project."
7,14,Which component of the Android Studio interface provides access to recent projects and version control?,"[""The Main Window"",""The Menu Bar"",""The Project Tool Window"",""The Welcome Screen""]",3,The welcome screen lists recent projects and provides options for accessing projects under version control.
7,15,Which keyboard shortcut opens the Switcher in Android Studio?,"[""Ctrl-E"",""Ctrl-R"",""Ctrl-S"",""Ctrl-Tab""]",3,"The Switcher can be accessed using the Ctrl-Tab shortcut, allowing users to quickly navigate between open files and tool windows."
7,16,Which part of the Android Studio interface displays the contents of a file currently being edited?,"[""Editor Window"",""Navigation Bar"",""Project Tool Window"",""Status Bar""]",0,The Editor Window is where the content of the currently open file is displayed and edited. It supports multiple tabs for working on different files simultaneously.
7,17,Which tool window allows you to inspect and modify an app's database while it is running?,"[""App Inspection"",""Gradle"",""Layout Inspector"",""Logcat""]",0,"The App Inspection tool window includes a Database Inspector that allows developers to inspect, query, and modify the apps databases during runtime."
7,18,Which tool window provides a central location for reviewing project build warnings and errors?,"[""Device File Explorer"",""Logcat"",""Problems"",""Run Tool Window""]",2,"The Problems tool window consolidates all warnings and errors detected in the project, making it easier to address them from a single location."
7,19,Which window provides real-time updates during the build process in Android Studio?,"[""Build Tool Window"",""Logcat"",""Run Tool Window"",""Terminal""]",0,"The Build Tool Window displays the progress of the build process, including the various steps involved in compiling the project."
8,0,What command lists the connected AVD or physical devices using ADB?,"[""adb connect-devices"",""adb devices"",""adb list-devices"",""adb show-devices""]",1,"The adb devices command lists all currently connected devices, showing both AVDs and physical Android devices."
8,1,What command should be run if the ADB server needs to be restarted on Windows?,"[""adb kill-server && adb start-server"",""adb restart-server"",""adb start"",""adb start-server""]",0,Running adb kill-server followed by adb start-server will stop any existing ADB server and start a new one.
8,2,What does the 'Allow USB debugging' dialog on an Android device do?,"[""It allows the development system to access device data."",""It allows the device to connect to any Wi-Fi network."",""It enables the device to be rooted."",""It grants permission for the development system to deploy and debug apps on the device.""]",3,Allowing USB debugging gives the development system access to deploy and debug applications on the connected Android device.
8,3,What is a common troubleshooting step if ADB fails to detect a device on macOS?,"[""Log out and back into the macOS desktop."",""Reinstall macOS."",""Reset the Android device to factory settings."",""Uninstall and reinstall Android Studio.""]",0,Logging out and back in can help reset system-level permissions that might interfere with ADBs ability to detect connected devices.
8,4,What is required for wireless debugging on an Android device?,"[""Connecting the device to a LAN cable."",""Enabling USB debugging only."",""Enabling Wireless Debugging in Developer options."",""Rooting the Android device.""]",2,"Wireless debugging must be enabled through Developer options, allowing ADB connections without a USB cable."
8,5,What is the default port used by ADB for communication?,"[""5000"",""5037"",""5554"",""8080""]",1,ADB uses port 5037 by default to communicate between the development system and connected devices.
8,6,What is the function of the 'adb devices' command?,"[""It installs applications on a connected device."",""It lists all available Android SDKs."",""It restarts the ADB server."",""It shows the list of connected AVD and physical devices.""]",3,The adb devices command displays a list of all currently connected emulators and physical Android devices recognized by ADB.
8,7,What is the primary purpose of the Android Debug Bridge (ADB)?,"[""To create backups of Android device data."",""To facilitate interaction between Android Studio and both AVD emulators and Android devices for running and debugging applications."",""To install applications directly on Android devices."",""To manage user accounts on Android devices.""]",1,"ADB serves as a bridge between a development environment like Android Studio and Android devices, allowing developers to test, run, and debug applications on both emulators and physical devices."
8,8,What should you do if an Android device is listed as 'offline' after connecting it to a macOS system?,"[""Check the device for a USB debugging permission dialog and allow it."",""Disconnect and reconnect the USB cable."",""Reboot the Android device."",""Reinstall Android Studio.""]",0,"If a device appears as offline, it often means that the permission to allow USB debugging has not been granted on the Android device."
8,9,What should you do if your device is listed as 'unauthorized' in the ADB device list?,"[""Check for a dialog on the device to authorize USB debugging."",""Enable developer mode again."",""Reinstall the ADB drivers."",""Restart the Android device.""]",0,An unauthorized status means that the permission dialog on the Android device for USB debugging needs to be confirmed.
8,10,Which Android Studio feature allows you to see the display of a physical device within the IDE?,"[""Device Emulator"",""Device Mirroring"",""Device Simulation"",""Screen Capture""]",1,Device mirroring lets you view the screen of a physical device within Android Studios Running Devices tool window.
8,11,Which command is used to restart the ADB server?,"[""adb kill-server && adb start-server"",""adb reset-server"",""adb restart"",""adb start-server""]",0,"To restart the ADB server, the command sequence first stops any running ADB server with adb kill-server and then starts it again using adb start-server."
8,12,Which group membership is required for an Ubuntu user to use ADB?,"[""adbuser"",""plugdev"",""root"",""sudo""]",1,Membership in the plugdev group allows Ubuntu users to access USB devices for ADB communication.
8,13,Which of the following is NOT a necessary step when configuring ADB on a Windows system?,"[""Executing the 'android update adb' command."",""Including the Android SDK platform-tools in the PATH environment variable."",""Installing the appropriate USB drivers."",""Rebooting the Android device.""]",3,"Rebooting the Android device is not a standard requirement for setting up ADB, although it may be useful if connection issues arise."
8,14,Which of the following is required before ADB can connect to an Android device over a USB connection?,"[""The development system must use Linux."",""The device must be in recovery mode."",""The device must be rooted."",""The device must have USB debugging enabled.""]",3,"USB debugging allows the Android device to communicate with the ADB, making it possible to deploy and debug apps from the development environment."
8,15,Which option should be selected in the run target menu to pair an Android device using Wi-Fi?,"[""Device Sync"",""Enable AVD Pairing"",""Pair Devices Using WiFi"",""Troubleshoot Device Connections""]",2,This option in the run target menu enables developers to pair a physical Android device with Android Studio for wireless debugging.
8,16,Which package must be installed on Ubuntu Linux to enable ADB for testing on physical devices?,"[""android-studio-adb"",""android-tools-adb"",""linux-tools-adb"",""ubuntu-adb-tools""]",1,"On Ubuntu Linux, the android-tools-adb package provides the necessary ADB tools to communicate with Android devices."
8,17,Why is testing on a physical device important compared to using only an AVD?,"[""AVDs do not support debugging."",""Physical devices are faster than AVDs in all cases."",""Physical devices have a better display resolution."",""Some Android features are only available on physical devices.""]",3,"Certain hardware-specific features and behaviors can only be tested on physical devices, making it essential to test apps in a real-world environment."
8,18,Why might a user need to reboot their system during ADB configuration?,"[""To apply changes made to system settings, such as group memberships or driver installations."",""To clear all ADB connections."",""To reset the Android device."",""To update Android Studio.""]",0,"Rebooting the system can ensure that any changes made, like new driver installations or group membership updates, take effect."
8,19,Why might it be necessary to install manufacturer-specific drivers for ADB on Windows?,"[""Because generic drivers do not support ADB functions for all devices."",""To access the device's bootloader."",""To allow wireless debugging."",""To enable faster app deployment.""]",0,Different Android device manufacturers may require specific USB drivers for ADB to recognize their devices on a Windows system.
9,0,How can a user detach an editor panel from the main Android Studio window?,"[""Click on the 'Detach' button in the toolbar"",""Drag the tab to a different part of the desktop"",""Right-click and select 'Detach Panel'"",""Use Ctrl + D keyboard shortcut""]",1,Dragging the tab outside the main window allows the user to detach the panel and place it in a separate window.
9,1,How can a user enable or disable line numbers in the Android Studio editor?,"[""By adjusting the code completion settings"",""Right-click in the gutter and select 'Show Line Numbers'"",""Through the View menu"",""Using the keyboard shortcut Ctrl + L""]",1,Users can enable or disable line numbers by right-clicking in the Editor Gutter Area and choosing the Show Line Numbers option.
9,2,How can a user modify the behavior of parameter name hints in Android Studio?,"[""Adjusting the Validation and Marker Sidebar"",""By changing the language settings"",""In the Settings dialog under Editor -> Inlay Hints"",""Using the Parameter Wizard tool""]",2,"Parameter name hints settings can be adjusted by navigating to the Inlay Hints section of the Settings dialog, providing control over their display."
9,3,How can the code completion behavior be customized in Android Studio?,"[""By adjusting the sidebar settings"",""In the Settings dialog under Editor -> General -> Code Completion"",""Through the View menu"",""Using a custom plugin""]",1,"Code completion settings can be customized through the Settings dialog, allowing users to adjust the suggestions and behavior to their preference."
9,4,How can the editor window be returned to a single panel after splitting?,"[""Click the 'Merge' button"",""Drag the panel back to the main window"",""Right-click on any tab and select 'Unsplit'"",""Use Ctrl + U keyboard shortcut""]",2,"To revert to a single panel, right-click on a tab in a split panel and choose Unsplit from the context menu."
9,5,How can the parameter information for a method be viewed in Android Studio?,"[""By hovering over the method name"",""Clicking the parameter name in the sidebar"",""Right-clicking and selecting 'View Parameters'"",""Using the Ctrl + P keyboard sequence""]",3,"Ctrl + P displays parameter information for methods, showing the arguments that can be passed to the method."
9,6,What are Live Templates used for in Android Studio?,"[""Displaying method parameter hints"",""Folding and unfolding code blocks"",""Inserting frequently used code snippets quickly"",""Organizing code into multiple files""]",2,Live templates allow developers to quickly insert common code patterns by typing a shortcut followed by pressing the Tab key.
9,7,What does the Validation and Marker Sidebar display?,"[""Breakpoints and bookmarks"",""Current file name and status"",""List of open files"",""Real-time analysis of code for warnings and errors""]",3,"The Validation and Marker Sidebar provides real-time feedback on code issues, highlighting errors and warnings as code is written."
9,8,What does the green check mark in the Validation and Marker Sidebar indicate?,"[""All tests have passed"",""The file is successfully saved"",""The project is ready for deployment"",""There are no errors or warnings in the code""]",3,"A green check mark means that the code currently has no detected warnings or errors, indicating that it is ready for compilation."
9,9,What feature allows for folding and unfolding blocks of code in Android Studio?,"[""Code Completion"",""Code Folding"",""Code Generation"",""Document Tabs""]",1,"Code folding enables users to collapse and expand blocks of code, helping to manage large code files by focusing on relevant sections."
9,10,What feature in Android Studio allows the automatic generation of code stubs like overriding methods?,"[""Code Completion"",""Code Folding"",""Code Generation"",""Live Templates""]",2,"Code generation allows developers to quickly create code structures, such as overriding methods, using shortcuts like Alt + Insert."
9,11,What feature of the Android Studio editor helps in minimizing typing effort by suggesting completions for statements?,"[""Code Completion"",""Code Folding"",""Document Tabs"",""Parameter Information""]",0,"Code completion provides suggestions as code is typed, reducing the need for manual typing by offering possible completions based on context."
9,12,What functionality does the 'Find Sample Code' feature in Android Studio provide?,"[""Displays example code for selected classes or methods"",""Generates random code samples"",""Highlights code errors"",""Provides code templates""]",0,"The Find Sample Code feature shows example code related to selected classes or methods, helping developers understand their usage."
9,13,What is the purpose of the Editor Gutter Area in Android Studio?,"[""To display code structure"",""To display informational icons like breakpoints and bookmarks"",""To manage code completion settings"",""To navigate between different files""]",1,"The Editor Gutter Area provides icons for debugging, code folding controls, line numbers, and other markers, making it easier to manage and navigate code."
9,14,Which feature allows users to automatically complete parentheses and braces for methods in Android Studio?,"[""Code Folding"",""Code Generation"",""Live Templates"",""Statement Completion""]",3,"Statement completion automatically fills out parentheses, braces, and other common syntax elements to save time during coding."
9,15,Which feature in Android Studio allows users to split the editor window into multiple panels?,"[""Code Folding"",""Editor Gutter Area"",""Live Templates"",""Splitter""]",3,"The splitter allows users to split the editor window into multiple panes, enabling simultaneous work on different files or different parts of the same file."
9,16,Which keyboard shortcut is used to invoke Smart Completion in Android Studio?,"[""Alt + Insert"",""Ctrl + Space"",""Shift + Ctrl + Enter"",""Shift + Ctrl + Space""]",3,"Smart Completion is triggered using the Shift + Ctrl + Space keyboard shortcut, offering more specific suggestions based on code context."
9,17,Which of the following is a purpose of the Code Structure Location bar in Android Studio?,"[""To display line numbers"",""To display parameter hints"",""To indicate the cursor's position within the code structure"",""To navigate through open files""]",2,"The Code Structure Location bar shows the current position of the cursor within the overall structure of the code, helping with navigation."
9,18,Which shortcut can be used to access documentation for a class or method in Android Studio?,"[""Ctrl + P"",""Ctrl + Q"",""Ctrl + Space"",""Shift + Ctrl + Enter""]",1,"Pressing Ctrl + Q displays context-sensitive documentation for the selected class or method, making it easier to understand their functionality."
9,19,Which shortcut is used to reformat code in Android Studio?,"[""Alt + Insert"",""Ctrl + Alt + L"",""Ctrl + Q"",""Shift + Ctrl + Space""]",1,Ctrl + Alt + L is the shortcut for automatically reformatting the code according to the defined style settings in Android Studio.
10,0,What are the native applications provided with Android called?,"[""Built-in Applications"",""Framework Applications"",""Native Applications"",""Standard Android Libraries""]",2,"Native applications are the built-in apps provided with Android, such as the web browser and email applications."
10,1,What does ART stand for in Android?,"[""Advanced Rendering Technology"",""Android Resource Toolkit"",""Android Runtime"",""Application Resource Tracker""]",2,"ART stands for Android Runtime, which is responsible for converting DEX bytecode into native machine instructions."
